01/09/2008 	 30
01/10/2008 	 168
06/07/2011 	 4
01/11/2008 	 39
01/03/2009 	 20
01/09/2009 	 27
01/10/2009 	 60
01/01/2010 	 18
11/02/2011 	 4
01/02/2010 	 20
01/03/2010 	 38
01/04/2010 	 6
01/06/2010 	 51
01/07/2010 	 121
01/09/2010 	 5
01/08/2010 	 182
14/10/2010 	 41
13/04/2011 	 4
14/04/2011 	 4
25/04/2011 	 14
15/08/2011 	 3
07/09/2011 	 8
12/09/2011 	 3
31/10/2011 	 9
01/11/2011 	 11
02/11/2011 	 4
07/11/2011 	 1
19/11/2011 	 12
21/11/2011 	 12
23/11/2011 	 29
24/11/2011 	 6
26/11/2011 	 23
28/11/2011 	 12
