3 	 7
6 	 3
91 	 5
98 	 4
2 	 3
5 	 2
9 	 4
8 	 1
12 	 4
28 	 8
27 	 5
24 	 5
44 	 1
381 	 1
84 	 1
90 	 2
92 	 3
93 	 1
94 	 2
95 	 1
96 	 2
97 	 2
99 	 2
100 	 1
102 	 3
103 	 3
104 	 2
106 	 1
107 	 4
108 	 3
109 	 1
110 	 1
113 	 1
118 	 1
119 	 1
120 	 1
10 	 2
11 	 1
13 	 1
14 	 2
15 	 2
16 	 2
17 	 1
18 	 2
19 	 2
20 	 2
21 	 2
22 	 2
23 	 3
25 	 2
26 	 1
29 	 2
30 	 2
31 	 3
34 	 1
32 	 2
? 	 2
81 	 1
105 	 1
129 	 1
194 	 1
199 	 1
237 	 1
242 	 1
246 	 1
250 	 1
251 	 1
252 	 1
253 	 1
255 	 1
256 	 1
258 	 1
259 	 1
260 	 1
261 	 1
262 	 1
266 	 1
